都道府県名,都道府県コード,生活保護世帯進学率(%),全世帯進学率(%)
北海道,01,36.2,68.1
青森県,02,31,62.4
岩手県,03,28.4,65.1
宮城県,04,32.2,68.8
秋田県,05,28,62.7
山形県,06,21.1,66.3
福島県,07,16.1,64.2
茨城県,08,30,65.2
栃木県,09,30.8,69.8
群馬県,10,32.5,73.7
埼玉県,11,37.5,78.4
千葉県,12,38.1,77.2
東京都,13,43,82.7
神奈川県,14,38.3,78.9
新潟県,15,43.6,74.2
富山県,16,22.2,71.5
石川県,17,16,71.7
福井県,18,33.3,71.5
山梨県,19,34.5,69.8
長野県,20,11.1,72.4
岐阜県,21,25,71
静岡県,22,36,71
愛知県,23,31.4,74.6
三重県,24,21.5,66.9
滋賀県,25,32.4,72.6
京都府,26,39.3,83.1
大阪府,27,45,78.3
兵庫県,28,37.9,78.9
奈良県,29,35.8,74.8
和歌山県,30,23.9,71.1
鳥取県,31,35.7,67.9
島根県,32,30.8,66.8
岡山県,33,25.7,69
広島県,34,37.4,78.6
山口県,35,22.1,63.1
徳島県,36,18,70.4
香川県,37,34.7,74.7
愛媛県,38,35.5,71.8
高知県,39,13.4,74.1
福岡県,40,34.7,75.3
佐賀県,41,25.8,63.9
長崎県,42,29.9,66.3
熊本県,43,27.6,67.6
大分県,44,30.9,68.7
宮崎県,45,32.2,65.6
鹿児島県,46,29.8,63.1
沖縄県,47,40.6,60.4