都道府県名,男,女,不明,合計人数
北海道,24,3,11,38
青森県,0,0,0,0
岩手県,1,1,0,2
宮城県,74,6,19,99
秋田県,0,0,0,0
山形県,0,0,0,0
福島県,12,0,0,12
茨城県,19,5,0,24
栃木県,19,0,1,20
群馬県,21,2,0,23
埼玉県,184,4,12,200
千葉県,201,10,18,229
東京都,1211,31,0,1242
神奈川県,880,31,23,934
新潟県,9,1,0,10
富山県,3,0,0,3
石川県,4,0,0,4
福井県,3,0,0,3
山梨県,3,0,0,3
長野県,6,0,0,6
岐阜県,7,1,0,8
静岡県,54,7,23,84
愛知県,187,11,47,245
三重県,19,1,5,25
滋賀県,3,0,0,3
京都府,47,10,1,58
大阪府,1092,17,1,1110
兵庫県,100,6,9,115
奈良県,0,0,0,0
和歌山県,19,0,1,20
鳥取県,4,0,0,4
島根県,0,0,0,0
岡山県,12,1,1,15
広島県,39,5,0,44
山口県,2,0,0,2
徳島県,2,0,0,2
香川県,3,0,0,3
愛媛県,11,0,0,11
高知県,1,0,0,1
福岡県,230,14,8,252
佐賀県,10,0,0,10
長崎県,0,0,0,0
熊本県,18,2,0,20
大分県,7,0,0,7
宮崎県,1,1,0,2
鹿児島県,12,0,9,21
沖縄県,52,7,4,63